text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
cock suck;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cock sucker;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cock sucking;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cock sucking boiolas;cock;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.6;Severe
cock sucking nob jokeys;cock;knob;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
cock tease;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cock-face;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cock-gobbler;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cock-head;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cock-sucker;cock;;;sexual anatomy / sexual acts;;;2;Strong
cock-suckers;cock;;;sexual anatomy / sexual acts;;;2;Strong
cockboy;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cockeater;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cockface;cock;;;sexual anatomy / sexual acts;;;2;Strong
cockgobbler;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cockh3ad;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cockhead;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cockheads;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cockhed;cock;;;sexual anatomy / sexual acts;;;2;Strong
cocklicker;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cockmonger;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cockmunch;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cockmuncher;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cocks;cock;;;sexual anatomy / sexual acts;;;1.6;Strong
cockshit;cock;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
cockskin;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
cocksmoker;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksucc;cock;;;sexual anatomy / sexual acts;;;2;Strong
cocksuccas;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuccer;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuccers;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuck;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuckas;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cocksucked;cock;;;sexual anatomy / sexual acts;;;2;Strong
cocksucker;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuckers;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksucking;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cocksucking mothafuckers;motherfucker;cock;;sexual anatomy / sexual acts;other / general insult;;3;Severe
cocksucks;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocksuk;cock;;;sexual anatomy / sexual acts;;;2;Strong
cocksuka;cock;;;sexual anatomy / sexual acts;;;2;Strong
cocksukka;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cocsuck;cock;;;sexual anatomy / sexual acts;;;2;Strong
cokmuncher;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
coksucka;cock;;;sexual anatomy / sexual acts;;;1.8;Strong
coot;coot;;;sexual anatomy / sexual acts;;;1.6;Strong
